date,5827,161725,163406,163417,162605,1714,1102,2984,3494,40046,1218,3096,6228,50025,834,1717,2939,4997,160222,519005,6308,1616,8,519694,519772,4070,320007,1630,1594,110011,519674,977
20201023,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,
20201026,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
20201027,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,
20201028,,,,,-1075.6,,,,,,,,,,,,,,,,,-627.75,,,,,,,,-398.72,,
20201029,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,
20201102,,,,,,,,100.0,,,2000.0,,,,,,,,,,,,,,,,,,,,,
20201104,,,-5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201105,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201106,3000.0,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201109,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
20201116,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
20201123,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,1000.0,,,,,,,
20201126,,,,500.0,,,,,,,500.0,,,,,,,,,,,,,,500.0,,,,,,,
20201130,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
20201208,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,
20201209,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201210,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
20201215,,,,,1150.0,867.0,1610.0,,,,,,,,,,-299.67,,,,,,,,,,,,,,,-1199.55
20201216,,,,,,,,,,,,,,,,,-325.99,-1682.82,,,,,,,,,,,,,,-1739.96
20201222,,,,,,,,,,,9000.0,,,,,,,,,,,,,,,2000.0,,,,,,
20201223,,,,,1003.0,,1475.0,,,,-8139.61,,,,,,,,,,,,,-966.24,-482.18,,,,,,,
20201224,,100.0,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,
20201228,,,,,,,337.0,,,,-299.75,,,,,,,,,,,,,,,,,,,,,
20201231,,,,,1732.0,,2310.0,100.0,100.0,,-7644.21,,,,,,,,,,,,,,,-516.08,,,,,,
20210101,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,
20210104,,,,,,,,,,,,,,,,,,,,,,,,,,-360.83,,,,,,
20210105,,,,,,182.0,,,,,,,,,,,,,,,,,,,,-149.51,,,,,,
20210107,,,-52.46,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,
